index,index,Input1_Input2,PdCatalyst,Additive,Ligand,Product,Output,PdCatalyst_Additive,PdCatalyst_Ligand,Time_h,mw_ligand,mw_catligand,splitting
11,11,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[As](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,Fc2ccc(c1ccccc1)cc2,23,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.[As](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,3.0,306.24,689.232,train
12,12,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,Fc2ccc(c1ccccc1)cc2,0,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,3.0,316.262,699.254,train
13,13,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,Fc2ccc(c1ccccc1)cc2,9,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,3.0,412.453,795.445,train
14,14,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CN(C1=CC=C(P(C2CCCCC2)C3CCCCC3)C=C1)C,Fc2ccc(c1ccccc1)cc2,19,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CN(C1=CC=C(P(C2CCCCC2)C3CCCCC3)C=C1)C,3.0,317.457,700.449,train
15,15,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,C1(C2=CC=CC=C2)=CC=CC=C1P(C3CCCCC3)C4CCCCC4,Fc2ccc(c1ccccc1)cc2,9,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.C1(C2=CC=CC=C2)=CC=CC=C1P(C3CCCCC3)C4CCCCC4,3.0,350.486,733.478,train
16,16,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,P([C@@]1(C[C@@H]2C3)C[C@H](C2)C[C@H]3C1)([C@]45C[C@@H]6C[C@H](C4)C[C@H](C5)C6)[C@]7(C[C@H]8C9)C[C@@H](C8)C[C@@H]9C7,Fc2ccc(c1ccccc1)cc2,98,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.P([C@@]1(C[C@@H]2C3)C[C@H](C2)C[C@H]3C1)([C@]45C[C@@H]6C[C@H](C4)C[C@H](C5)C6)[C@]7(C[C@H]8C9)C[C@@H](C8)C[C@@H]9C7,3.0,436.664,819.656,test
17,17,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CC(C)(C)P(C(C)(C)C)C1=CC=CC=C1,Fc2ccc(c1ccccc1)cc2,97,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CC(C)(C)P(C(C)(C)C)C1=CC=CC=C1,3.0,222.312,605.304,train
18,18,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,c1ccc(cc1)P(c2ccccc2)C34C5[Fe]3678912(C5C6C74)C3C8C9C1(C23)P(c1ccccc1)c1ccccc1,Fc2ccc(c1ccccc1)cc2,30,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.c1ccc(cc1)P(c2ccccc2)C34C5[Fe]3678912(C5C6C74)C3C8C9C1(C23)P(c1ccccc1)c1ccccc1,3.0,554.391,937.383,train
19,19,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,Fc2ccc(c1ccccc1)cc2,16,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,3.0,304.373,687.365,train
20,20,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CCCCP(CCCC)CCCC,Fc2ccc(c1ccccc1)cc2,0,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CCCCP(CCCC)CCCC,3.0,202.322,585.314,train
